icao,le_ident,he_ident,le_lat,le_lon,he_lat,he_lon,le_displaced_ft,he_displaced_ft
CJU7,12,30,53.18767358,-108.79290579,53.18233642,-108.78543221,0,0
CJV2,16,34,52.83495287,-109.640282,52.82782113,-109.640282,0,0
CJV4,18,36,55.58444885,-104.78363945,55.57776715,-104.78636855,0,0
CJV5,04,22,50.22969818,-99.5164032,50.2358017,-99.50469971,0.0,0.0
CJV9,02,20,50.93835328,-102.73750326,50.94359672,-102.73307874,0,0
CJV9,10,28,50.9420483,-102.74239913,50.9392617,-102.73198087,0,0
CJW3,10,28,54.01998279,-109.14012885,54.01669121,-109.13042515,0,0
CJW4,01,19,55.28343008,-102.75196262,55.29098056,-102.74705,0,0
CJW5,14,32,50.77063995,-101.29908146,50.76616585,-101.29483658,0.0,0.0
CJW5,17,35,50.7694663,-101.29490365,50.76022021,-101.29359708,0.0,0.0
CJW7,17,35,58.06011036,-104.48350117,58.04578118,-104.48562607,0,0
CJX4,07,25,51.56442358,-107.92245237,51.56442358,-107.91109011,0,0
CJX5,08,26,49.63334543,-100.20678754,49.63332107,-100.19747038,0.0,0.0
CJX5,14,32,49.64023195,-100.20276492,49.63329957,-100.19674131,0.0,0.0
CJY3,08,26,52.83491925,-104.07169068,52.835125,-104.06026389,0.0,0.0
CJY3,14,32,52.83969879,-104.07099915,52.83330154,-104.06199646,0.0,0.0
CJY3,17,35,52.84026711,-104.07123672,52.83469845,-104.07123663,0.0,0.0
CJY4,05,23,55.54433064,-102.27736656,55.54803936,-102.26503744,0,0
CJZ3,08,26,52.86447144,-104.70778656,52.86445999,-104.69408417,0.0,0.0
CJZ4,08,26,53.2280982,-106.36891085,53.2280982,-106.35991168,0,0
CKA4,12,30,49.2830345,-96.506126,49.278625,-96.496101,0,0
CKA9,03,21,56.33432695,-103.2969183,56.33879883,-103.29008001,0,0
CKB2,14,32,55.90286406,-107.72293609,55.89546794,-107.71650191,0,0
CKB7,13,31,51.23760883,-101.39559908,51.23031363,-101.38589531,0.0,0.0
CKC6,08,26,51.8454866,-105.00198807,51.8450654,-104.98246393,0,0
CKC7,08,26,49.16685,-105.92308409,49.16685,-105.91301591,0,0
CKD2,08,26,52.616512,-103.25342522,52.616512,-103.24190478,0,0
CKD2,17,35,52.62348807,-103.250549,52.61650993,-103.250549,0,0
CKD5,09,27,50.1001663,-102.61344186,50.0981537,-102.6008584,0,0
CKE2,08,26,52.063885,-104.26785419,52.063885,-104.25664486,0,0
CKE8,02,20,52.44279861,-109.18499756,52.44499969,-109.18199921,0.0,0.0
CKE8,11,29,52.44819396,-109.19051886,52.44340604,-109.17953974,0.0,0.0
CKH7,16,34,53.36675573,-107.548332,53.35989827,-107.548332,0,0
CKH8,15,33,50.67261276,-104.7916098,50.66313782,-104.78587136,0,0
CKJ4,11,29,51.62618881,-106.44722547,51.62215519,-106.43722053,0,0
CKJ9,08,26,50.7095635,-103.20139518,50.70965924,-103.19273346,0,0
CKK2,16,34,52.64856812,-104.88056559,52.63901756,-104.87882145,400,0
CKK4,03,21,49.03649973,-102.9796236,49.04072027,-102.97295612,0,0
CKK4,12,30,49.04162313,-102.98059862,49.03799287,-102.97207169,0,0
CKK7,07,25,49.496967,-96.702667,49.498234,-96.695198,0.0,0.0
CKK7,18,36,49.498241,-96.697876,49.489716,-96.697639,0.0,0.0
CKL5,10,28,50.45859909,-100.61499786,50.4557991,-100.60199738,0.0,0.0
CKL6,02,20,54.28935669,-104.67405655,54.29452931,-104.66873145,0,0
CKL9,14,32,50.75991689,-104.98494649,50.75391835,-104.9791358,0,0
CKM4,18,36,54.83575583,-102.78689538,54.82729202,-102.79031717,0,0
CKN5,11,29,49.87017766,-103.45116282,49.86596234,-103.44069763,0,0
CKN8,06,24,57.74161783,-103.95012322,57.74338217,-103.93931078,0,0
CKP2,17,35,50.06411484,-105.40205885,50.05588716,-105.40183515,0,0
CKQ2,02,20,53.67523762,-103.35398231,53.68197838,-103.34601369,0,0
CKQ5,08,26,50.99420166,-107.13800049,50.99420166,-107.12400055,0.0,0.0
CKQ6,09,27,50.50034428,-99.90548843,50.49891083,-99.89277004,0.0,0.0
CKQ8,18,36,57.77453727,-105.02097983,57.76047612,-105.02744234,0,0
CKS3,04,22,52.48613168,-105.76855312,52.48996632,-105.75921688,0,0
CKS6,07,25,49.40972279,-103.14762728,49.41055917,-103.14121109,0,0
CKS6,11,29,49.41163655,-103.14788568,49.4079239,-103.13921615,0,0
CKS8,18,36,57.4689264,-106.74492714,57.4606176,-106.74994686,0,0
CKT7,11,29,52.65138836,-105.76800145,52.64686357,-105.75781497,0,0
CKU7,07,25,51.692,-105.38001559,51.692,-105.36728704,0,0
CKU7,13,31,51.69146112,-105.36826888,51.68431688,-105.35859912,0,0
CKU7,17,35,51.68509973,-105.358574,51.67824227,-105.358574,0,0
CKV2,17,35,52.12916673,-103.53024,52.12230927,-103.53024,0,0
CKV6,17,35,51.02002315,-101.816666,51.01330285,-101.816666,0,0
CKV7,16,34,49.89692296,-102.03072374,49.89145704,-102.02999638,0,0
CKW6,04,22,56.87205061,-103.59396382,56.87517139,-103.58715818,0,0
CKX5,04,22,51.33019712,-107.44191154,51.3334622,-107.43397905,0,0
CKX8,15,33,53.84038834,-107.01193504,53.83182966,-107.00694096,0,0
CKY2,10,28,50.33587444,-102.28037554,50.33352906,-102.27028067,0,0
CKZ7,09,27,49.17060354,-97.92628575,49.170619,-97.91442332,0,0
CKZ7,17,35,49.17050976,-97.92027143,49.16305907,-97.92027922,0,0
CLM2,01,19,42.01979828,-82.52570343,42.03020096,-82.52429962,1179.0,949.0
CMA2,06,24,46.29811204,-78.75072192,46.30157219,-78.74447758,400,0
CNA3,07,25,44.40575788,-79.73536416,44.40829234,-79.72812336,100.0,200.0
CNA4,12,30,45.54728781,-79.3480056,45.54485855,-79.33882537,0,0
CNA4,17,35,45.54829854,-79.34583964,45.54234716,-79.34165526,200,0
CNC3,08,26,43.7580986,-79.87940216,43.76029968,-79.87059784,190.0,0.0
CNC3,15,33,43.764198,-79.8778,43.756699,-79.8694,0.0,0.0
CNC4,05,23,43.56039337,-80.19607849,43.56421782,-80.19065381,0,0
CNC4,14,32,43.566982,-80.2011,43.562069,-80.194176,0,0
CND4,08,26,45.110311,-78.644709,45.1117448,-78.63538471,0,0
CNF3,05,23,45.48260072,-75.09871781,45.48513799,-75.08938393,0,0
CNF3,11,29,45.48909548,-75.09971799,45.48611812,-75.09068989,0,0
CNF3,15,33,45.48936384,-75.10198606,45.48253417,-75.09843658,0,0
CNK4,17,35,45.26279779,-79.83240597,45.25247034,-79.82714264,0.0,0.0
CNL3,04,22,44.63410187,-75.75450134,44.64479828,-75.7457962,0.0,0.0
CNL3,16,34,44.64164904,-75.75233732,44.63634449,-75.74829401,0.0,0.0
CNP3,10,28,45.4106895,-76.373389,45.41129332,-76.35806573,0.0,0.0
CNP3,16,34,45.41696313,-76.36787082,45.41136949,-76.363233,0.0,0.0
CNP7,06,24,44.83993975,-75.31459833,44.84401943,-75.3095337,0,0
CNQ3,05,23,42.97643921,-79.33039286,42.98407397,-79.32241077,0.0,0.0
CNQ3,11,29,42.977257,-79.328354,42.976154,-79.319733,0.0,0.0
CNQ3,16,34,42.98223188,-79.32446132,42.97621798,-79.31895348,0.0,0.0
CNR4,12,30,45.22325228,-81.63461455,45.22034269,-81.62298087,0.0,450.0
CNR6,15,33,45.10477482,-76.12394834,45.09909848,-76.12058769,0,0
CNR9,03L,21R,45.92348156,-79.92978729,45.92782624,-79.92602433,0,0
CNT6,10,28,43.585217,-80.607846,43.584368,-80.598157,400,0
CNU4,08,26,44.19075606,-77.31568568,44.19374573,-77.30305881,377,597
CNY3,01,19,44.44665951,-80.1656691,44.45359822,-80.16449534,0.0,0.0
CNY3,13,31,44.45170593,-80.16758728,44.44525528,-80.15087891,0.0,0.0
CNZ8,04,22,43.15542206,-79.6022492,43.16254142,-79.59757317,0.0,0.0
